sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
Mafi,,غذا کاملا بهم ریخته بود طوری‌که انگار غذا از دستشان افتاده!,پیتزا مارگاریتا (آمریکایی)
امید,۵,بین غذاهاشون کیفیت پیتزاهاشون بالاتر هست،با اینکه خیلی اهل خوردن مرغ تو پیتزا نیستم ولی پیتزا مکزیکیش خوشمزست.,هات کمبو
hamidreza,۵,بسیار عالی بود از هر نظر,ماءالشعیر قوطی هی دی استوایی
سارا,۱,پیتزا آپاچینو ارسال نشد,پیتزا آپاچینو (آمریکایی)
محمد,۵,خوب بود و مزه آب نمیداد.,نوشابه قوطی کوکاکولا
عاطفه,۴,"گوشت های پیتزا سوخته بود و خود پیتزا چرب بود.
جدا از اون پیک از آوردن غذا تا دم در خونه امتناع کردن و گفتن وظیفه ندارن غذا و درب خونه تحویل بدن، بعد ازینکه با اصرار غذا رو آوردن داخل تازه با آسانسور!!! باز هم گفتن هیچ بایدی وجود ندارد که غذا رو بیارم بالا و دفعه بعد باید بیاین پایین و غذارو تحویل بگیرین. متاسفم برای شما که برند سیب رو با چنین ادمایی بی اعتبار میکنین",دوغ قوطی خوشگوار
bhre,۳,همبرگر اصلا چیزی به عنوان دیپ چدار نداشت و فقط یه سس ساده داشت و به نسبت چیزی که انتظار داشتم کوچیکتر بود،برگرش خوش طعم بود،هم پیتزا هم برگر یه طعم شیرینی خوبی داشتن،من دوست داشتم.رفتار پیک هم‌ محترمانه بود.,هالوپینو برگر
ایلیا,۱,خیلی مسخره بود به ۴۴ هزار تومان اصلا چیزی نداشت,چیز برگر فرانسوی (پرسی)
پریا,۵,گوشت پيتزا مشخص بود دو سه روز مونده بود,پیتزا بیف گورمه (ایتالیایی)
آقای,,غذای سفارشی هالوپینو برگر بود ولی برگر ساده آوردن با قیمت هالوپینو برگر,هالوپینو برگر
نگار,,یکم شور بود ولی بد نبود,پیتزا مارگاریتا (ایتالیایی
داریوش,۱,فقط یک تکه خمیر نازک شُل و ول بی کیفیت تحویل اینجانب شد.,پیتزا چهارفصل (ایتالیایی)
امین,۵,پیتزا پپرونی ایتالیایی عالیه,پیتزا چهارفصل (ایتالیایی)
Ghazal,,عالی و به موقع هم رسید.خوش طمع هم بود,پیتزا چانو (ایتالیایی)
سميرا,۵,"سلام وقتتون به خير ، پيتزا بسيار خوشمزه بود 
فقط يه انتقادي داشتم ، لطفا قبل از ارسال غذا درب جعبه هارو با چسب ببنديد ، اصلا حس خوبي  نميده وقتي پيك پيتزا رو به اين شكل تحويل ميده، ادم فكر ميكنه تا قبل از. سيدن غذا به دستش ، چنددفه در غذاش باز شده ، لطفا با اين وضعيت بيماري كرونا بيشتر براي ارسال غذا دقت كنيد .
ممنون",پیتزا چهارفصل (ایتالیایی)
پیمان,,نصبت به قیمتش اصلا ارزش نداره,پیتزا بیکن (ایتالیایی)
علوی,۱,غذا ۱.۳۰طول کشید. بعد به پیک میگم میشه بیارید بالا میگه خودت بیا پاین بگیر این چه طرز برخورده,پیتزا میکس (آمریکایی)
عرشیا,۱,به جای ۴تا نوشابه ۱دونه دادن!,سوپر برگر (پرسی)
محمد,۱,غذا خیلیییی سرد بوووود واقعا متاسفم,پیتزا پپرونی (ایتالیایی)
عرفان,۴,عالی,پیتزا چهارفصل (ایتالیایی)
پريسا,,سايزش كوچيكتر از چيزى بودكه نوشته بودن!!!!!,پیتزا مونترال (آمریکایی)
علی,۱,بعد از ۲ ساعت سفارشای ما کاملا سرد به دستمون رسید.,پیتزا میکس (آمریکایی)
arj,۵,عالییییی بووووود,پیتزا پپرونی (آمریکایی)
حسام,۵,خوشمزه بود،برخورد پیک هم خیلی عالی بود.,پیتزا میکس (آمریکایی)
پریسا,۵,خوب بود,پیتزا چیکن گورمه (ایتالیایی)
حامد,,قبلا خیلی بهتر بود، کیفیت کمی پایین اومده و اندازه پیتزا هم کوچکتر شده,پیتزا بیکن (ایتالیایی)
سمانه,۱,"غذا به شدت سرد بود.
حجم غذا و کیفیت اصلا با غذا همخونی نداشت
کیفیت به شدت پایین بود
مواد داخل پیتزا فقط نون و گوجه بود
از نازکی زیاد خمیر پیتزا، هر اسلایس رو ک بلند میکردی از وسط پاره میشد",سیب زمینی
