sc-hKgILt,sc-hKgILt 3,sc-hKgILt 4,sc-hKgILt 5
امیر,۵,مث همیشه خوب,پیتزا پپرونی (آمریکایی)
مجيد,۱,کیفیت قابل قبولی نداشت,پیتزا کالزون (آمریکایی)
شاهرخ,۵,سیب کارش درسته ، حرف نداره . از بهترین مواد اولیه و درجه ۱ استفاده میکنه .,پیتزا میکس (آمریکایی)
بهناز,۲,هر روز داره قطر نون پیتزا کم میشه، درسته پیتزا ایتالیایی نونش نازک باید باشه اما نه در حد نون لواش,پیتزا چهارفصل (ایتالیایی)
علی,۱,به شدت شعبه تو تحویل به موقع و خدمات درست ضعیفه ۲ ساعت و نیم تاخیر اونم با اعلام ۳ بار تاخیر برای مسیر ۱۵ دقیقه ای! غذای یخ تحویل مشتری!,ساندویچ سوچیک
حامد,۵,تو این چند وقت اخیر به نظرم کیفیت خیلی مناسب شده و ممنون,پیتزا سوپریم (ایتالیایی)
فاضل,۱,بعذ از ٢ ساعت به دستمون رسيد ، پيتزا بيات شده بود كاملا و اصلا كيفيت نداشت,پیتزا سبزیجات (ایتالیایی)
بهروز,۵,با عرض سلام خدمت مدیریت و پرسنل زحمت کش سیب امروز به قسمت توضیحات توجه شده بود همه چیز عالی چه از نظر کیفیت و گرم بودن غدا واقعا ممنونم کاش همین باشه و بمونه همیشه,پیتزا سبزیجات (ایتالیایی)
غزاله,۱,حجم غالب غذا پنیر بود و,استرا رست
المیرا,۴,سفارشمون فک کنم اخرین سفارش بود می خواستن زود تعطیل کنن خمیر پیتزا کاملا خام بود. قبلا از سیب زیاد خرید کردم خوب بوده ولی اینبار متاسفانه انقد خمیر خام بود که قابل خوردن نبود امیدوارم دیگه این اتفاق نیافته,پیتزا سوپریم (ایتالیایی)
اتنا,۴,"سلام غذا مثله همیشه خوب و عالی
چرا پیک غذا رو بالا نیورد و اینکه داخله آسانسور آلوده رویه زمین گذاشت هر چی سیب تمیز و مرتب میفرسته آقای پیک حسابی خراب کرد",پیتزا بیکن (ایتالیایی)
morteza,۱,"غذا بسیار سرد
نوشابه بسیار گرم
تاخیر زیاد",پیتزا آپاچینو (آمریکایی)
فرهاد,,از زمان سفارش ۱.۵ ساعت بعد به دستم رسید. وقتی که رسید هم داغ بود یعنی به نظرم مشکل از پیک نبوده.,سوپر برگر (پرسی)
سحر,۲,خیلی دیر ارسال شد,ماشروم برگر
فرید,۱,با وجود فاصله یک ربعه با رستوران، سفارش بعد از یک ساعت و نیم زمان بعد از سه بار تماس با پشتیبانی اسنپ فود، بصورت کاملا سرد بدست من رسید.که باعث شد من دیگه هیچ وقت از این رستوران از طریق اسنپ فود سفارش ندم,پیتزا چانو (ایتالیایی)
سانیا,۳,کیفیت غذا نسبت به قابل کاهش چشم گیری داشته و سیب زمینی ها خیلیییی کم بودن,پیتزا چهارفصل (ایتالیایی)
pegah,۵,عالی بود,ساندویچ هات داگ ویژه
ريحانه,۴,کیفیت خوب بود ولی موقعی که رسید غذا سرد شده بود.,پیتزا بیف گورمه (ایتالیایی)
ایلیا,۱,این سری که گرفتم کلا اندازه کف دست هم نمیشد و پیکم تاخیر تحویل داشت.,چیز برگر فرانسوی (پرسی)
سحر,۲,"خیلیییی دیر غذاها ارسال میشه
خوبه حالا سیب چندتا کوچه پایین تر از ما هست",اکو کمبو یک
شیوا,۱,غذاتون خوبه واقعا، ولی من نمیفهمم با این همه کامنت بدی که در رابطه با ارسال دیر دارید هیچ رسیدگی نمکنید و سفارش من هم با دو ساعت تاخیر اومد، البته در جریانید که ادم وقتی گرسنه باشه سفارش میده که زودتر غذا بخوره اگه میخواست دو ساعت معطل بشه که خودش غذا میپخت,اکو کمبو دو
حامد,۴,"خوب بود طعمش و تقریبا زود رسید و کاملا گرم با اینکه یکم ازمون دور بود
ولی مشکلش یکی نداشتن آویشن بود
دومی کم ملات بودنش
ولی در کل خوب بود",پیتزا چهارفصل (ایتالیایی)
رضا,۱,"احساس مسئولیت صفر
علی رغم مسیر کوتاه چندین نوبت تاخیر در تحویل 
اولین و آخرین سفارشم بود 
کیفت غذا متوسط بود",ساندویچ مرغ ویژه
ali,۱,نان ساندویچ بیات بود غذا نسبت به قبل خالی بود,چیکوچی
امین,۲,هر روز... نازکتر از دیروز دیگه از نازکی حتی دو دستی هم نمیشه خوردش باز یه جاش آویزون میشه,پیتزا پپرونی (ایتالیایی)
علی,,طعم خوب حجم کم و سرد رسید متاسفانه,پیتزا مونترال (آمریکایی)
مهسا,۴,غذا خیلی دیر رسید,پیتزا چیکن گورمه (ایتالیایی)
دریا,۳,پیتزا هم سرد بود وخمیر بود نونش,پیتزا چیکن گورمه (ایتالیایی)
ابوالفضل,۵,بموقع رسید و کیفیت عالی,اکو کمبو دو
الهام,۴,کیفیت غذا خوب بود ولی متاسفانه همیشه در ارسال تاخیر دارن,پیتزا سوپریم (ایتالیایی)
شادی,۴,غذا سرد رسید دستم، برگر خوش طعم بود، پیتزا یکم روغنی بود، طعمش بد نبود. سیب زمینی سوختگی داشت پنیرشم خیلی خیلی کم بود.با تشکر,سوپر برگر (پرسی)
شهلا,۵,مثل هميشه خوشمزه و با كيفيت,چیز برگر
فاطمه,۵,"عالییییییی بود 
کیفیت عالییییی ولی حجمش یه خورده کم بود",هالوپینو برگر
کیمیا,۴,تشكر از پيك محترم,پیتزا آفریکانا (آمریکایی)
محسن,۳,با توجه به سرمای هوا، غذا بسیار سرد بود و غذای سرد مزه خاصی هم نخواهد داشت. پیشنهاد می شود با توجه به شروع سرما، در بسته بندی و یا جعبه پیک تغییری داده شود تا غذا گرم به مقصد برسد.,پیتزا آپاچینو (آمریکایی)
فرزانه,۱,غذا با تاخیر به دستم رسید...کاملا سرد و غیرقابل خوردن..انگار پیتزا مونده بود..مقدار گوشتش نسبت به دفعه ی قبل خیلی خیلی کمتر بود. واقعا ناراضی بودم.,پیتزا بیف گورمه (ایتالیایی)
سید امید,۵,عالی و کم نظیر بود واقعا خوب بود و پیشنهاد میکنم به دوستان,پیتزا چهارفصل (ایتالیایی)
پريا,۱,"بعد از ۱ ساعت ۴۵ دقیقه بدمزه و سردترین غذای ممکن تحویل دادن.
اصلا سفارش ندین
من اشتباه کردم",چیز برگر
علی,۱,"اولین بار بود که این کیفیت پایین رو از پیتزا سیب دیدم 
دومین بار یود که یه کسری تو ارسال بودش
حجم غذا کم شده 
نون پیتزا بیات بود و سرد
اصلا شبمونو ساختید.",سیب زمینی با پنیر
M,۵,"سلام و وقت بخیر
بسیار خوشمزه و گرم، ممنون از برخورد محترمانه پیک
از همه نظر عالی",پیتزا آفریکانا (آمریکایی)
جواد,۲,نوشابه تحویل نشد.پیتزا و برگر سرد و خمیر شده بود.,میکس کمبو (۱)
سعید,۳,"امشب من در ساعت ۲۰:۵۵ ثبت سفارش کردم که دفعه اول یک پیتزای چسبیده به درب جعبه برای من ارسال شد.
با پیگیری های ممتد درنهایت درساعت ۲۲:۵۵ پیتزای جدید رو دریافت کردم.
یادتون باشه که زمان مشتری از هرچیزی مهم تره و چیزی زمان رو جبران نمیکنه.

با سپاس از پشتیبانی اسنپ فود",پیتزا گوشت و قارچ (آمریکایی)
الهه,۳,پیتزا و برگر خوب بود و راضی بودم اما بسیار دیر  سفارش را تحویل دادند,پیتزا پپرونی (ایتالیایی)
مهدیه,۵,سلام ممنون از برخورد عالی پیکتون و ممنون از این که غذا گرم به دستمون رسید,کانتری
فرید,۵,بسیار عالی و خوشمزه پیتزا فوق العاده بود خیلی سریع و گرم بدستم رسید،. ممنونم,اکو کمبو دو
ابراهیم,۵,مثل همیشه با کیفیت و عالی,پیتزا مونترال (آمریکایی)
امیر,۴,"سریع،گرم و تمیز...
ممنون",سوپر برگر (پرسی)
پونه,۵,عالی بود همه چیز...زودتر از زمان تعیین شده به دستم رسید...واقعا ممنونم از کیفیت بی نظیر غذاها...,بلووز
فاطمه,۵,متشکرم از بسته بندی عالی و کیفیت غذاتون.از ادب و متانت پیک هم متشکرم.,غذای کودک (دخترانه)
فرزام,۱,تاخير ١ ساعت ٥٠ دقيقه اي در ارسال، سرد بودن غذا، برخورد بد متصدي فست فود,پیتزا چانو (ایتالیایی)
فرید,۵,مثل همیشه عالی,پیتزا چهارفصل (ایتالیایی)
شقایق,۵,نان پیتزا بسیار  لطیف و خوش طعم بود. زود رسید دستم وغذا هنوز گرم  بود.,پیتزا گوشت و قارچ (آمریکایی)
الهام,۴,پیتزا خوب بود ولی سیب زمینی داغ نبود و بسیار کم پنیر داشت,پیتزا پپرونی (ایتالیایی)
فاطمه,۵,مگه میشه غذای شمارو غیر از امتیاز کامل امتیاز دیگه ای بهش داد؟ افرین به بسته بندی کاملا بهداشتی و تازگی مواد غذایی تون.,ساندویچ مرغ ویژه
ن,۳,زمان آماده سازی غذا بسیار طولانی بود.کیفیت پیتزاها خوب بود.منتهی حجم سیب زمینی به نسبت قیمت بسیار کم بود.,پیتزا توکیو (آمریکایی)
مهناز,۵,عالی بود ممنون از شما,پیتزا بیف گورمه (ایتالیایی)
erfan,۱,غذا ماسیده بعد از کلی تاخیر فرستاده شد,اکو کمبو یک
مهدی,۵,غذا عالی رفتار پیک عالی خسته نباشید,میکس کمبو (۱)
امیر,۴,"تشکر،
سریع
گرم و خوشمزه",ساندویچ هات داگ ویژه
کامران,۳,"زود رسید اما سرد
شاید اگر گرم بود افت کیفیت انقدر حس نمیشد",پیتزا چانو (ایتالیایی)
معصومه‌,۵,"عاااالی 
تمیز و بهداشتی 
تحویل سریع وتمیز 
ممنونم",ماشروم برگر
