"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"حسین","۵","طعم خوبی داشت و پنیر عالی استفاده شده بود! سوسیس توی پیتزا هم با کیفیت بود ...
در کل عالی بود","پیتزا مرغ و اسفناج اسپینا چیکن (۲۳ سانتی متری)"
"Bahareh","۵","خوب بود ممنون مخصوصا استرامبولی","چیز برگر"
"amirhosein","۵","مزه ی خاصی نداشت ولی راضی کننده بود","استرامبولی دونر استیک پنیری"
"سهراب","۵","خوشمزه و درست حسابی","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"مهدی","۵","کیفیت عالی","فرش چیز برگر"
"امین","۵","رفتار پیک عالی و کیفیت غذا خیلی خوب بود","کمبو چیز"
"سیده زهره","۵","مثل همیشه عالی و خوش مزه. پیک عزیز آقای ابراهیمی هم بسیار خوش رو","پیتزا کویین ۲۳ سانتی متری"
"AmirMasoud","۱","بد مزه ترین پیتزای عمرم رو خوردم","نان سیر"
"بهزاد","۵","بسيار عالي و خوشمزه مثل هميشه بود","پیتزا رست بیف ۳۰ سانتی متری"
"ز","۵","بسیار با کیفیت و خوشمزه و عالیه ..بسیار سریع ارسال میکنن.. هم مشتری حضوریشون هستیم  هم اسنپ و.از هر دو راضی","فرش چیز برگر"
"امیر محمد","۵","کیفیت غذا خوب بود خوشمزه هم بود نسبتا ، خیلی زود هم فرستادن برخورد پیک آقای ابراهیمی عالی بود","سیب زمینی سرخ شده"
"علیرضا","۵","واقعا عالی بود طعم فوق العاده کیفیت عالی مرسی واقعا","پیتزا کویین (۳۰ سانتی‌ متری)"
"حمید","۵","بر خلاف همیشه، اینبار نون ساندویچ تازه نبود","ساندویچ هات داگ با پنیر گودا"
"majid","۵","ممنون ...از شیلا","پیتزا مرغ (۳۰ سانتی‌ متری)"
"کتایون","۵","عالی، داغ و خوشمزه، سریع رسید","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"مهدی","۵","شیلا همیشه خوبه","چیکن استریپس"
"بهناز","۵","عالی","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"ساناز","۵","عالی بود","پیتزا چیکن استروگانف (۲۳ سانتی‌ متری)"
"زهرا","۵","مثل همیشه کیفیت عالی و غذا گرم به دستم رسید","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"رضا","۵","مثل هميشه عالى","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"رها","۱","خیلییییییی شور بود خیلییییییی زیاد","پیتزا مرغ (۲۳ سانتی‌ متری)"
"الناز","۵","خوشمزه ترین پیتزا و دارین فقط به نظرم این تماس های نظرسنجی اضافه اس برای کار شما","پیتزا هات چیکن (۳۰ سانتی متری)"
"الهام","۵","عالی","نوشابه قوطی لیموناد"
"رضا","۵","مثل همیشه عالی.","استرامبولی دونر استیک پنیری"
"خاطره","۵","شیلا عالیه من همیشه از شیلا سفارش میدم فرزند کوچیک دارم میدونم همه چی به روز هست","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"کتایون","۵","عالی خوشمزه وداغ","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"آویسا","۵","پیک رستوران رفتار خیلی خوبی داشتن","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"محسن","۵","عالی
پیک آقای ابراهیمی بسیارعالی ومودب","ساندویچ کراکف"
"رایموند","۵","بسیار عالی و خوشمزه","کمبو فیت"
"نرگس","۵","سرد بودن غذا","همبرگر"
"حمید","۵","غذای خوب و ارسال به موقع","ساندویچ بیف هات داگ"
"هانیه","۲","به نظرم ۱۰ درصد تخفیف دلیل نمیشه از کیفیت محصول زده بشه،اسمش چیکار آلفردو بود ولی بهتر بود میگفتین ماکارونی و قارچ و خامه","پاسترونی چیکن آلفردو"
"امیل","۵","همه چی خیلی عالی بود. ولی برای ٣ نفر بزرگسال یکم حجمش کم بود.","سوپر کمبو"
"مهنوش","۵","خوگشمزه و داغ","پیتزا فیتکس گوشت و قارچ ۲۳*۱۰ سانتی متری"
"زهرا","۵","خوش طعم بود. بخصوص نازکی نان عالیه","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"مهنوش","۵","عالی عالی ممنون","استرامبولی دونر استیک پنیری"
"نسیم","۵","عالی و به موقع رسید","چیکن استریپس"
"امیر","۳","خیلی کوچیکه ساندویچش","ساندویچ هات داگ با پنیر گودا"
"مهسا","۴","کهنه بودن نان برگر","استرامبولی گوشت و پنیر"
"م","۴","استرامبولی دونر گوشت خوشمزه بود اما توی گوشت غضروف هم پیدا شد که خوشایند نبود و پاسترونی هم کمی طعم سوختگی میداد اما در کل خوب بود و راضی بودم","استرامبولی دونر استیک پنیری"
"امیر","۱","سیب زمینی که داخلش نبود 
کیفیت خود غذا هم به شدت بد بود 
بنده رضایتی نداشتم","استرامبولی چیکن آلفردو"
"نیلوفر","۳","مثل همیشه خوشمزه و تازه و خوب بود اما یه مورد عجیب اینکه توی نان سیر تکه های ریز پلاستیکی بود که اتفاقی موقع گاز زدن متوجه شدیم و واقعا دور از انتظار و عجیب بود","ساندویچ کراکف"
"بهناز","۵","عالی  مثل همیشه","استرامبولی ژامبون پنیری"
"بهاره","۵","طعم پيتزا عالي و تازه، فيله سوخاري و سيب زميني ها هم طعمشون تازه و خوب بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"مهشاد","۵","عااااالی . کیفیت غذا خیلی خوب بود و غذا گرم گرم به دستم رسید. از بهترین تجربه های خریدم از اسنپ فود . مشتری دائم این شعبه شدم","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"محمد","۴","خوشمزه بود. داغ تحویل شد و پیک خوش برخورد.  فقط نونش کمی خمیر بود.  بهبود بدید","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"کتایون","۵","همه چیز عالی، از همه بهتر اینکه همیشه زود تر از زمان اعلام شده میرسه و داغ داغ سرو میشه","پیتزا دونر استیک (۳۰ سانتی‌ متری)"
"الهه","۵","مرسی از آقای ابراهیمی که غذا سریع و گرم رسوندن","استرامبولی گوشت و پنیر"
"سینا","۱","تماس گرفتن جهت گرفتن امتیاز","استرامبولی دونر استیک پنیری"
"مهسا","۴","کیفیت پیتزا هاتون واقعا عالی چندمین بار که از شیلا خرید میکنم و راضی ام البته به جز یکبار که یک برش کم بود تو تقسیم بندی پیتزا","پیتزا مرغ (۳۰ سانتی‌ متری)"
"زهرا","۵","گرم و خوش طعم","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"Sanaz","۵","حجمش کم بود فقط","پیتزا فیتکس مرغ و شوید ۱۰*۲۳ سانتی متری"
"آزاده","۵","مثل همیشه عالی","پیتزا کویین ۳۰ سانتی متری"
"علی","۵","مثل همیشه عالی","پیتزا پپرونی ۲۳ سانتی متری"
"حسام","۵","طبق معمول کیفیت غذا و حجم بسیار متناسب بود و پیک هم آقای ابراهیمی بسیار با شخصیت بودند و غذا رو به موقع و درب واحد تحویل دادن در کل از همه لحاظ عالی بود","پیتزا مخلوط ۲۳ سانتی متری"
"ندا","۵","عالی بود","استرامبولی چیکن آلفردو"
"امیر حسین","۵","کیفیت عالی و بسته بندی عالی و تحویل سفارش هم عالی ممنون از شیلا و پیکشون آقای ابراهیمی","پیتزا مرغ ۲۳ سانتی متری"
"الی","۵","همه چیز عالی بود.","پیتزا مخلوط ۳۰ سانتی متری"
"امیر","۵","مخلص آقای ابراهیمی کار درست منطقه حتما پیشنهادشون میکنم","ساندویچ هات داگ مکزیکن"
"زهرا","۵","برای بار چندم سفارش دادیم و مثل همیشه غذاها با کیفیت بودنو به موقع رسیدن","همبرگر"
"نازنین","۴","پیک بسیار محترم و وقت‌شناس هستن، برخورد بسیار عالی 
دستتون درد نکنه
پیتزا کمی شور بود","پیتزا مرغ (۲۳ سانتی‌ متری)"
"محمدمیلاد","۵","همه چی عالی بود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"نیما","۵","سلام خیلی ممنون از آقای ابراهیمی بابت تحویل","پیتزا فیتکس مرغ و شوید ۲۳*۱۰ سانتی متری"
"مهتا","۴","پیتزا اسپینا چیکن خوشمزه بود.","پیتزا اسپینا چیکن ۲۳ سانتی متری"
"سعيد","۵","بسیار خوب و با کیفیت ، به نسبت قیمت عالی ، امیدوارم همینطوری بمونید همیشه ...","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"علی","۵","کیفیت عالی، زمان تحویل عالی و به موقع، ممنون از تیم خوب شیلا شعبه مجیدیه  دوستان حتماً امتحان کنید، مطمئنن مشتری ثابت میشین در ضمن برخورد پیک فوق العاده اس","پیتزا دونر استیک ۳۰ سانتی متری"
"آرزو","۵","مثل همیشه عالی بود","کمبو شیلا"
"شهرزاد","۵","طعم پیتزا عالی بود، سالاد هم خوشمزه بود.","پیتزا پپرونی (۲۳ سانتی‌ متری)"
"محمد","۵","خیلی خوب بود. کسی هم که غذا رو تحویل دادن (آقای ابراهیمی) بسیار خوش برخورد بودن. کیفیت غذا هم باب میل بود.","فینگر کریسپی بزرگ"
"محمد","۴","ممنون و تشکر ویژه دارم از پیک خوشرو، جناب ابراهیمی","استرامبولی چیکن آلفردو"
"مرتضی","۴","پیتراش خوب بود ولی نان سیرش زیاد جالب نبود","پیتزا مخلوط (۳۰ سانتی‌ متری)"
