"sc-hKgILt","sc-hKgILt 3","sc-hKgILt 4","sc-hKgILt 5"
"بنفشه","۵","عالی و باکیفیت","ساندویچ هات داگ مرگز با قارچ و پنیر"
"محمد","۲","با سلام و قت بخیر من بار اول بود از این شعبه خرید میکنم و قطعا دیگه تکرار نخواهد شد سفارش با نیم ساعت تأخیر رسید و مهم تر از همه غذا سرد شده بود","پیتزا سوجوک (۳۰ سانتی متری)"
"سیمین","۱","خیلی خیلی چررررررررب بود. با اینکه من همیشه غذاهای شیلا رو دوست دارم ولی اولین بارم بود این غذارو سفارش میدادم که گویا قراره آخرین بارم باشه.","چیکن چیز کلاسیک"
"نگار","۳","قبلا از لحاظ کیفیت و حجم بهتر بود مثلا سیب زمینی ۶ هفتا دونه نمیذاشتن اندازه قیمتی که براش گرفتن میگذاشتن نمیشه که قیمت رو ببرین بالا از غذا کم کنین","استرامبولی دونر استیک پنیری"
"محمدرضا","۵","شیلا بهتر از همه جا","پیتزا پپرونی (۲۳ سانتی‌ متری)"
"leila malekian","۱","سیب زمینی افتضاح بود 
توضیح ندادن که بجای هات داگ،بندری و سیب زمینی رو قاطی میکنن.
خمیر مزخرفی شده بود و اصلا قابل خوردن نبود","فرش برگر"
"نیلوفر مختاری","۵","ممنون از شیلا ک همه ی شعبه هاش با کیفیتن","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"اتوسا مهبد","۲","من این غذا رو از شعبه های دیگه هم گرفته بودم و این بی کیفیت ترینش بود","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"ندا فرید","۱","فاجعه بود نون به شدت بو میداد همبرگرم درجه کیفیش مثل همبرگرای شوش بود","همبرگر"
"سید علی محمدیان","۱","سیب زمینی بیات سفت پیتزا بی کیفیت تنها این شعبه شیلاست برند را زیر سوال برده است واقعا جای تاسف داره هر دفعه از مواد پیتزا کم میشه کیفیت پایین میاد امیدوارم برسی بشه","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"امین تقی زاده","۵","هم زمان تحویل هم کیفیت راضی کننده بود.","پیتزا گوشت و قارچ (۲۳ سانتی متری)"
"man max","۵","فود واز وری گوود … تنکیو سو ماچ","پیتزا سبزیجات (۳۰ سانتی‌ متری)"
"رضا شربتی","۵","بسیار خوب‌ووقت شناس","سالاد سزار با مرغ گریل"
"امیر رشیدی","۴","کیفیت و تازگی مواد مصرفی عالی","سالاد سزار با مرغ گریل"
"زرین تاج پورثمر","۴","همه چی خوب بود ولی بااین قیمت کیفیت پایین بود برای همین یع ستاره کم دادم .درکل مرسی و خسته نباشید مخصوصا سفیر موتور سوار","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"احسان مرادی","۵","چی بگه ادم از کیفیت و طعم عالی","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"Sadaf  Bahrami","۵","خوشمزه و باکیفیت مرسی از شیلا گرم هم رسید","پیتزا اسپشیال پلاس (۳۰ سانتی متری)"
"mari rafiei","۵","عالی شیلا جون.توبهترینی.....","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"پریسا نعیمی","۴","واقعا کیفیت افتصاع بود از هر دو طرف فقط خمیر زیاد با کمی سس  و چند دونه قارچ شیلا نمی دونم روزهای تعطیل اونجا چه اتفاقی میوفته هر وقت تعطیلات سفارش دادم با کیفیت پایین تحویل گرفتم","استرامبولی چیکن آلفردو"
"مهناز رحمانی","۵","سالاد بدون زیتون نون سیر و گوجه گیلانی بود.
ولی امروز به این نتیجه رسیدم پرسنل شیلا درجه یک و آدم های پیگیر و مودبی هستند که از همه مهم تر","سالاد سزار با مرغ سوخاری پنیری"
"مهرنگار گيلان","۳","سیب زمینی‌‌ها سفت بود انگار یبار نیم پز کردن گذاشتن کنار بعد دوباره سرخ کردن، چیزبرگر هم اسمش روشه چیییییز یعنی پنیر! سس داشت ولی پنیر نه! نسبت به همیشه راضی کننده نبود اصلا","فرش چیز برگر"
"آرین غلامی","۱","فکر کنم ۲۰ گرم گوشت توش بود همش خمیر نون و پنیر پیتزا بود قیمت غذا نسبت به خود غذا بسیااار بالاست و مالیات و … میگیره ازت تازه بالاترم میشه منکه دیگه سفارش نمیدم از شیلا .","استرامبولی رست بیف"
"فرشاد صباغ زادگان","۵","کیفیت غذا واقعا عالی و بالاس.
پیتزا سوجوک به نظرم رو دست نداره. یه طعم جدید و خیلی خوشمزه","چیکن استریپس"
"محمد قاسم نژاد","۵","سالاد مونده بود و پیتزا کاملا سرد","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"بهاره تنهایی","۱","هات داگ خیلی بد بود، گوشت رست بیف شور بود، ولی سالاد خیلی خوب بود. سالاد رو باز سفارش میدم.","سالاد سزار با مرغ گریل"
"خانم","۴","توش گوجه نبود","سالاد سزار با مرغ گریل"
"مرضيه","۳","نصف پیتزا نیمه سوخته بود","پیتزا کویین (۳۰ سانتی‌ متری)"
"محمد","۵","کیفیت بالای غذا _ صداقت در قیمت گذاری و ارسال زودتر از موقع مقرر از ویژگی های مثبت  بود ولی به شرط اینکه این موضوعات حفظ شود","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"مژگان گردان","۱","انقدر کره زده بودن همه اش بوی کره به مشام میرسید. بجای استفاده از ررغن و کره روی طمع و کیفیت کار بشه بهتره. دسگه سفارش نمیدم. نشبت به قیمتی که میگیرید کیفیت پایین است.","پیتزا گوشت و قارچ (۳۰ سانتی‌ متری)"
"سایه","۲","قبلا خیلی با کیفیت تر بود اما این سری پیتزا ۳۰ سانتی سفارش دادم اما کوچیک تر فرستاده بودید ..‌ مواد از خمیرش جدا بود کلا و بوی زخم میداد تازه نبود یا مال ظهر بود یا روز قبلش","پیتزا مخلوط (۳۰ سانتی‌ متری)"
"لادن","۱","افتضاح بود من دیگه از اینجا نمیگیرم این شعبه برای دومین باره افتضاحه","نوشابه قوطی کوکا کولا زیرو"
"مهیار","۳","در کل کیفیت همبرگرها اصلا در حد انتظار از یک برند معروف مانند شیلا نیست . همبرگر فرش برگر حتی پایین تر از حد معمولی همبرگرهای خوب هست.","فرش برگر"
"الهام","۳","نسبت به خریدای حضوری که از شعبه های دیگه داشتم دیدم سیب زمینی رو خیلی کم رو پیتزا گذاشته","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"ملیحه","۱","افتضاح بود! از شیلا اصلا انتظار نمی‌رفت!","سالاد سزار با مرغ گریل"
"کیارش","۴","به نظرم اون پنیر پیتزای روی پاستا اضافه کاریه. به جاش می شد سس پاستا رو کمی غلیظ تر و طعم دار تر کرد . اما در کل خوب بود","پاسترونی چیکن آلفردو"
"معصومه  تهوری","۳","پیتزا موادش بسیار روان و شل بود و برشته نشده بود و یک طعم خاصی داشت که مطلوب نبود و استامبولی اسفناج و مرغ هم جا داشت برشته شود و هنوز آبدار بود","پیتزا فیتکس مخلوط ۲۳*۱۰ سانتی متری"
"Motahare Golabdar","۱","پاستا افتضاح بود","پاسترونی چیکن آلفردو"
"تبسم علوی","۱","دیگه هیچ وقت سفارش نمیدم","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"آذین رئوف","۴","راضی هستم فقط اگر تکه های سوخاری از قسمتهای بهتری انتخاب شوند و اسپایسی باشد خوشمزه تر هم خواهد بود.ممنونم","چیکن استریپس"
"مهرنوش آقايي","۲","سيب زميني سرد و مونده بود
نوشابه هم ارسال نشده بود","استرامبولی ژامبون پنیری"
"Morteza Karbasi","۳","متاسفانه بعد از خرید تماس میگیرن میگن به ما امتیاز ۵ بدین که امتیازمون بره بالا،شما هم کیفیت و قیمت پایین بدین که ماهم بیایم بهتون امتیاز ۵ بدیم","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"پانته‌آ ساربان‌ها","۱","دو تا استرامبولی مرغ و اسفناج سفارش داده بودم که یکیش دونر ارسال شده بود","استرامبولی مرغ و اسفناج پنیری"
"مبین نادری","۱","افتضاح بود. خیلی بد بود.","استرامبولی چیکن آلفردو"
"علیرضا  اسفندیار","۲","یه پیتزا کاملا معمولی رو به قیمت بالا میارن براتون","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"گلنوش نکوزاد","۱","تمام ایتمهایی که سفارش دادیم 
پیتزا تلخ بود قیمت به نسبت حجم بلا بود","پیتزا فیتکس پپرونی ۲۳*۱۰ سانتی متری"
"kiarash Khaksar","۵","درب پیتزا پلمپ نبود","نوشابه قوطی کوکا کولا"
"مرجان  خيري","۳","دفعه قبل که این پیتزا رو گرفته بودم خیلی بهار بود و مقدار گوشت تو پیتزا اندازه ای بود که طمعش تو پیتزا مشخص بود ولی این دفعه بیشتر مزه پیتزا قارچ و پیاز میداد و به نظرم این اصلا جالب نیست که بعد یه مدتی اینجوری از کیفیت غذا بزنید","پیتزا رست بیف (۳۰ سانتی‌ متری)"
"محمد خیری","۴","عدم توجه به توضیحات","پیتزا کویین (۲۳ سانتی‌ متری)"
"مریم شیخ علی","۱","غذا سرد و بی کیفیت","پیتزا مخلوط (۲۳ سانتی‌ متری)"
"negar moghadam","۲","بسیار شور اصلا از شوری نمیشد خورد","استرامبولی چیکن آلفردو"
"hossein .","۵","همه چی خوب بود ممنون از شیلا شعبه نزدیک ما","پیتزا رست بیف (۳۰ سانتی‌ متری)"
